CPP,Jonathan Owusu,,M,71,257,0.8%,,,
PNC,Emmanuel A. Boadi,,M,64,172,0.5%,,,
NRP,Amponsah Wireko,,M,46,117,0.3%,,,
,,Total Votes Cast,"33,986",Valid Votes,"33,636",Rejected Votes,350,Turn-Out:,67.9%
Constituency,,ASOKWA EAST,,,,Registered Voters:,,"142,450",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Edward B. Bonnie,,M,62,"45,482",58.3%,,,
NDC,Musah Ahmed,,M,39,"21,590",27.7%,,,
PNC,Ibrahim M. Issaka,,M,50,"6,967",8.9%,,,
NRP,Osman B. Ahmed,,M,35,"2,041",2.6%,,,
CPP,Alhaji B. Musah,,M,43,"1,949",2.5%,,,
,,Total Votes Cast,"78,853",Valid Votes,"78,029",Rejected Votes,824,Turn-Out:,55.4%
Constituency,,ASOKWA WEST,,,,Registered Voters:,,"106,399",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Edward O. Kwaku,,M,60,"48,738",74.5%,,,
NDC,Ishmael Butler,,M,52,"13,500",20.6%,,,
PNC,Mahama Nyaba,,M,41,"1,594",2.4%,,,
CPP,Kwasi Prempeh,,M,62,"1,175",1.8%,,,
NRP,George K. Mensah,,M,35,374,0.6%,,,
,,Total Votes Cast,"65,888",Valid Votes,"65,381",Rejected Votes,507,Turn-Out:,61.9%
Constituency,,ATWIMA KWANWOMA,,,,Registered Voters:,,"36,020",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Matthew K. Antwi,,M,59,"19,656",85.0%,,,
NDC,Awere A. Dankyi,,M,49,"2,670",11.5%,,,
CPP,David O. Darko,,M,30,799,3.5%,,,
,,Total Votes Cast,"23,199",Valid Votes,"23,125",Rejected Votes,74,Turn-Out:,64.4%
12 December 2007,,,,,,,,Page 3 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,ATWIMA MPONUA,,,,Registered Voters:,,"49,355",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Akwasi D. Afriyie,,M,49,"20,245",61.1%,,,
NDC,Kwaku A. Mensah,,M,51,"12,092",36.5%,,,
CPP,Osei S. Bossman,,M,59,453,1.4%,,,
NRP,Edwina C. Quist,,F,51,319,1.0%,,,
,,Total Votes Cast,"33,726",Valid Votes,"33,109",Rejected Votes,617,Turn-Out:,68.3%
Constituency,,ATWIMA NWABIAGYA,,,,Registered Voters:,,"67,786",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,James A. Sarkodie,,M,53,"38,959",80.9%,,,
NDC,Baffour Osei Wusu,,M,50,"7,880",16.4%,,,
NRP,Yaw Boateng,,M,60,683,1.4%,,,
PNC,Alex Addo Kuffour,,M,48,336,0.7%,,,
CPP,D.D. Boateng,,M,60,295,0.6%,,,
,,Total Votes Cast,"48,947",Valid Votes,"48,153",Rejected Votes,794,Turn-Out:,72.2%
Constituency,,BANTAMA,,,,Registered Voters:,,"169,792",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Richard w. Anane,,M,46,"88,649",82.0%,,,
NDC,Stephen K. Boateng,,M,47,"10,679",9.9%,,,
IND,Owusu A. Akoto,,M,51,"6,671",6.2%,,,
PNC,Samuel Mensah,,M,26,902,0.8%,,,
NRP,Juliet A. Takyiwa,,F,42,688,0.6%,,,
CPP,Yaw Owusu Boafo,,M,54,528,0.5%,,,
IND,Adu Tutu Gyamfi,,M,66,,,,,
,,Total Votes Cast,"109,096",Valid Votes,"108,117",Rejected Votes,979,Turn-Out:,64.3%
12 December 2007,,,,,,,,Page 4 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,BEKWAI,,,,Registered Voters:,,"53,760",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Ignatisu K.P. Adusei,,M,37,"30,811",85.7%,,,
NDC,Michael O.K. Boakye,,M,56,"4,260",11.9%,,,
PNC,Stephen A. Kwarteng,,M,40,340,0.9%,,,
NRP,Charles Ofori,,M,60,333,0.9%,,,
CPP,Michael O.K. Annan,,M,69,193,0.5%,,,
,,Total Votes Cast,"36,062",Valid Votes,"35,937",Rejected Votes,125,Turn-Out:,67.1%
Constituency,,BOSOME-FREHO,,,,Registered Voters:,,"25,717",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Gabriel Y. Amoah,,M,64,"10,734",65.5%,,,
NDC,Kwaku O. Agyemang,,M,49,"4,872",29.7%,,,
IND,Kofi Adu-Asare,,M,49,493,3.0%,,,
CPP,Francis O. Addai,,M,50,283,1.7%,,,
,,Total Votes Cast,"16,785",Valid Votes,"16,382",Rejected Votes,403,Turn-Out:,65.3%
Constituency,,BOSOMTWE,,,,Registered Voters:,,"38,672",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Adu-Gyamfi Poku,,M,59,"15,160",66.3%,,,
NDC,Joseph O. Adjei,,M,42,"7,361",32.2%,,,
PNC,Suleiman Mohammed,,M,27,225,1.0%,,,
CPP,Violet Kankam,,F,42,129,0.6%,,,
,,Total Votes Cast,"23,174",Valid Votes,"22,875",Rejected Votes,299,Turn-Out:,59.9%
Constituency,,EFFIDUASE ASOKORE,,,,Registered Voters:,,"27,443",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Grace Coleman,,F,57,"13,954",71.2%,,,
NDC,Kwasi Amakye-Boateng,,M,39,"4,408",22.5%,,,
CPP,Osei Kwabena,,M,36,729,3.7%,,,
NRP,Osei Addiya,,M,43,246,1.3%,,,
PNC,Lovia Yeboah,,F,36,235,1.2%,,,
UGM,Alfred O. Baah,,M,36,35,0.2%,,,
,,Total Votes Cast,"19,799",Valid Votes,"19,607",Rejected Votes,192,Turn-Out:,72.1%
12 December 2007,,,,,,,,Page 5 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,EJISU-JUABEN,,,,Registered Voters:,,"67,316",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Akwasi Osei Adjei,,M,51,"33,128",78.8%,,,
NDC,Kwasi Adusei,,M,46,"7,262",17.3%,,,
PNC,Adamu B. Jibreel,,M,46,829,2.0%,,,
NRP,George M.Osei,,M,61,422,1.0%,,,
CPP,Kwasi Baidoo,,M,58,420,1.0%,,,
,,Total Votes Cast,"42,605",Valid Votes,"42,061",Rejected Votes,544,Turn-Out:,63.3%
Constituency,,EJURA SEKYEDUMASE,,,,Registered Voters:,,"44,238",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NDC,Sampson Atakora,,M,46,"10,787",42.0%,,,
NPP,Elizabeth Owusu,,F,64,"8,006",31.2%,,,
IND,Kwabena A. Bresiampong,,M,57,"2,939",11.4%,,,
CPP,Iddrissu A. Kadir,,M,26,"2,734",10.6%,,,
PNC,Raymond A.Azumah,,M,47,693,2.7%,,,
NRP,Kwaku A. Boasiako,,M,27,237,0.9%,,,
IND,Kingsford K.N. Cliver,,M,50,167,0.7%,,,
UGM,Kwame Adu,,M,41,116,0.5%,,,
,,Total Votes Cast,"26,365",Valid Votes,"25,679",Rejected Votes,686,Turn-Out:,59.6%
Constituency,,FOMENA,,,,Registered Voters:,,"18,228",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Akwasi Afrifa,,M,42,"9,389",71.6%,,,
NDC,William Kofi Donkor,,M,64,"2,787",21.3%,,,
CPP,Samuel K.A. Agyin,,M,66,361,2.8%,,,
UGM,Adansi Gyimah Ernest,,M,31,214,1.6%,,,
PNC,Eric Kofi Owusu,,M,27,186,1.4%,,,
NRP,Charles K. Amponsaa,,M,41,167,1.3%,,,
,,Total Votes Cast,"13,255",Valid Votes,"13,104",Rejected Votes,151,Turn-Out:,72.7%
12 December 2007,,,,,,,,Page 6 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,KUMAWU,,,,Registered Voters:,,"37,947",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Reo Addai Basoah,,M,64,"13,554",57.8%,,,
NDC,Opanin Kwame Adu,,M,50,"6,057",25.8%,,,
IND,Kingsford O. Boateng,,M,45,"3,129",13.4%,,,
NRP,Bannor B. Augustine,,M,27,273,1.2%,,,
CPP,Okra Frempong,,M,58,186,0.8%,,,
PNC,James Yaw Owusu,,M,51,138,0.6%,,,
UGM,Osei Bonsu Thompson,,M,51,100,0.4%,,,
,,Total Votes Cast,"23,832",Valid Votes,"23,437",Rejected Votes,395,Turn-Out:,62.8%
Constituency,,KWABRE,,,,Registered Voters:,,"72,845",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Nana Asante-Frempong,,M,61,"41,098",80.9%,,,
NDC,Barimah B. Bediako,,M,53,"7,353",14.5%,,,
NRP,Agnes Osei,,F,40,"1,589",3.1%,,,
PNC,Abdullah Uthman,,M,26,621,1.2%,,,
UGM,Oduro Kwaku,,M,33,133,0.3%,,,
CPP,Emmanuel K. Doutey,,M,57,,,,,
,,Total Votes Cast,"51,002",Valid Votes,"50,794",Rejected Votes,208,Turn-Out:,70.0%
Constituency,,MAMPONG,,,,Registered Voters:,,"44,040",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Solomon K. Sarfoh,,M,64,"23,352",74.3%,,,
NDC,Elizabeth Nicol,,F,47,"6,286",20.0%,,,
IND,Agyei A. Boasiako E.Y.,,M,50,618,2.0%,,,
CPP,Patrick K.A. Bonsu,,M,42,594,1.9%,,,
NRP,Tahiru A. Kubi,,M,48,264,0.8%,,,
PNC,Mohammed Issahaku,,M,35,221,0.7%,,,
UGM,Owusu Sekyere,,M,58,85,0.3%,,,
,,Total Votes Cast,"31,803",Valid Votes,"31,420",Rejected Votes,383,Turn-Out:,72.2%
12 December 2007,,,,,,,,Page 7 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,MANHYIA,,,,Registered Voters:,,"123,049",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Kwame A. Kufour,,M,50,"64,067",81.8%,,,
NDC,Samuel B. Donkoh,,M,49,"12,244",15.6%,,,
PNC,Salifu Mumuni,,M,45,"1,614",2.1%,,,
CPP,Nana O. Boateng,,M,61,443,0.6%,,,
,,Total Votes Cast,"78,778",Valid Votes,"78,368",Rejected Votes,410,Turn-Out:,64.0%
Constituency,,NEW ADUBIASE,,,,Registered Voters:,,"32,446",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NDC,Theresa J. Baffoe,,F,55,"11,223",52.8%,,,
NPP,Francis K. Dopenyoh,,M,42,"6,150",28.9%,,,
PNC,Memuna I. Ahmed,,F,38,"2,689",12.7%,,,
CPP,Sophia A. Owusu,,F,47,711,3.3%,,,
IND,Azameti C.F. Rafique,,M,29,349,1.6%,,,
UGM,Samuel Y.Obeng,,M,44,132,0.6%,,,
IND,Augustine A. Cudjoe,,M,45,,,,,
,,Total Votes Cast,"22,195",Valid Votes,"21,254",Rejected Votes,941,Turn-Out:,68.4%
Constituency,,NSUTA KWAMANG,,,,Registered Voters:,,"35,439",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Kwame O. Prempeh,,M,43,"13,568",63.5%,,,
NDC,Ebenezer A. Frimpong,,M,41,"6,889",32.3%,,,
NRP,Osei O. Emmanuel,,M,46,304,1.4%,,,
CPP,Osei Kwadwo,,M,40,285,1.3%,,,
PNC,Salisu Muhammed,,M,42,221,1.0%,,,
UGM,Kofi A. Kankam,,M,47,91,0.4%,,,
,,Total Votes Cast,"21,809",Valid Votes,"21,358",Rejected Votes,451,Turn-Out:,61.5%
12 December 2007,,,,,,,,Page 8 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,OBUASI,,,,Registered Voters:,,"108,913",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Anthony B.B. Mensah,,M,64,"46,787",65.4%,,,
NDC,Yaw Nsiah Peppah,,M,50,"18,011",25.2%,,,
CPP,Sarfo Kantanka,,M,40,"4,193",5.9%,,,
PNC,Mohammed Nurudeen,,M,,"1,636",2.3%,,,
UGM,Abdulai Y. Issaku,,M,30,806,1.1%,,,
NRP,Douglas F. Agyemang,,M,48,123,0.2%,,,
,,Total Votes Cast,"72,491",Valid Votes,"71,556",Rejected Votes,935,Turn-Out:,66.6%
Constituency,,ODOTOBRI,,,,Registered Voters:,,"33,327",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Samuel N. Gyimah,,M,48,"18,395",80.0%,,,
NDC,John A. Frimpong,,M,62,"3,579",15.6%,,,
CPP,Francis A. A. Minta,,M,53,668,2.9%,,,
PNC,Isaac Owusu,,M,23,357,1.6%,,,
,,Total Votes Cast,"23,495",Valid Votes,"22,999",Rejected Votes,496,Turn-Out:,70.5%
Constituency,,OFFINSO NORTH,,,,Registered Voters:,,"33,769",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Kofi Konadu Apraku,,M,46,"13,160",61.0%,,,
NDC,Nana K.O. Baah,,M,64,"8,178",37.9%,,,
CPP,Samuel S. Asare,,M,28,127,0.6%,,,
NRP,Stephen K. Amponsah,,M,42,78,0.4%,,,
UGM,Oti Boakye Gabriel,,M,39,20,0.1%,,,
PNC,Manu Yaw Joseph,,M,50,10,0.0%,,,
,,Total Votes Cast,"21,957",Valid Votes,"21,573",Rejected Votes,384,Turn-Out:,65.0%
12 December 2007,,,,,,,,Page 9 of 62,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,ASHANTI,,,,,,,
Constituency,,OFFINSO SOUTH,,,,Registered Voters:,,"44,673",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Kwabena Sarfo,,M,52,"21,693",71.1%,,,
NDC,Butah K. Adunkwa,,M,50,"8,257",27.1%,,,
CPP,Kuting A. Kwasi,,M,44,250,0.8%,,,
NRP,Oheneba K. Asamoah,,M,46,173,0.6%,,,
UGM,Effah A. Keneth,,M,34,134,0.4%,,,
,,Total Votes Cast,"31,001",Valid Votes,"30,507",Rejected Votes,494,Turn-Out:,69.4%
Constituency,,OLD TAFO SUAME,,,,Registered Voters:,,"112,962",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Osei K.M. Bonsu,,M,43,"58,996",83.8%,,,
NDC,Habiba Attah,,F,54,"8,565",12.2%,,,
PNC,Sakibu Mohammed,,M,58,"1,621",2.3%,,,
NRP,Margaret J. Owusu,,F,53,677,1.0%,,,
CPP,Andrews K.A. Akoto,,M,54,508,0.7%,,,
,,Total Votes Cast,"70,782",Valid Votes,"70,367",Rejected Votes,415,Turn-Out:,62.7%
Constituency,,SUBIN,,,,Registered Voters:,,"96,416",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Sampson K. Boafo,,M,58,"44,907",78.9%,,,
NDC,Kwame Adubofour,,M,46,"9,077",16.0%,,,
PNC,Hussein A. Ali,,M,50,"1,541",2.7%,,,
CPP,Serwaa Kyeretwie,,F,64,"1,373",2.4%,,,
,,Total Votes Cast,"57,299",Valid Votes,"56,898",Rejected Votes,401,Turn-Out:,59.4%
12 December 2007,,,,,,,Page 10 of 62,,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,BRONG-AHAFO,,,,,,,
Constituency,,ASUNAFO NORTH,,,,Registered Voters:,,"55,751",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Benjamin Osei Kuffour,,M,44,"20,784",57.5%,,,
NDC,Christiana Atakora Mensah,,F,49,"14,326",39.7%,,,
CPP,Francis Amofah,,M,60,359,1.0%,,,
PNC,Michael Mahama Nabila,,M,36,245,0.7%,,,
UGM,Yeboah Kwasi Eric,,M,28,207,0.6%,,,
NRP,Asare Bediako,,M,41,200,0.6%,,,
,,Total Votes Cast,"36,814",Valid Votes,"36,121",Rejected Votes,693,Turn-Out:,66.0%
Constituency,,ASUNAFO SOUTH,,,,Registered Voters:,,"35,156",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,George William Amponsah,,M,54,"10,792",50.9%,,,
NDC,Francis Adu-Poku,,M,41,"8,816",41.6%,,,
CPP,Yaw Ohene Manu,,M,47,"1,300",6.1%,,,
NRP,Twumasi Ankra Kwasi,,M,44,296,1.4%,,,
,,Total Votes Cast,"21,524",Valid Votes,"21,204",Rejected Votes,320,Turn-Out:,61.2%
Constituency,,ASUTIFI NORTH,,,,Registered Voters:,,"24,800",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Paul Okoh,,M,51,"7,682",49.1%,,,
NDC,Baah-Danquah Emmanuel,,M,42,"6,895",44.1%,,,
IND,Georges Nsiah-Afriyie,,M,53,906,5.8%,,,
CPP,Norbert Anane-Nyarko,,M,55,147,0.9%,,,
NRP,Darkwa Anthony,,M,50,,,,,
,,Total Votes Cast,"15,978",Valid Votes,"15,630",Rejected Votes,348,Turn-Out:,64.4%
Constituency,,ASUTIFI SOUTH,,,,Registered Voters:,,"23,632",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Cecilia Gyan Amoah (Mrs),,F,53,"8,220",51.6%,,,
NDC,Collins Dauda,,M,43,"7,670",48.1%,,,
NRP,Alfred Osei Nkrumah,,M,56,23,0.1%,,,
CPP,Alex Osei Amankwaa,,M,47,16,0.1%,,,
PNC,Kwabena Yeboah,,M,31,9,0.1%,,,
,,Total Votes Cast,"16,089",Valid Votes,"15,938",Rejected Votes,151,Turn-Out:,68.1%
12 December 2007,,,,,,,Page 11 of 62,,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,BRONG-AHAFO,,,,,,,
Constituency,,ATEBUBU NORTH,,,,Registered Voters:,,"52,170",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NDC,David Yaw Mensah,,M,66,"13,229",44.6%,,,
IND,Joseph Kwabena Manu,,M,52,"7,360",24.8%,,,
NRP,Winston Samuel Binabiba,,M,45,"4,125",13.9%,,,
NPP,Mahama Ikunjoon Y.,,M,40,"3,468",11.7%,,,
PNC,Francis Kwabena Dorkoseh,,M,41,748,2.5%,,,
CPP,Niekuu Bayor Franklin,,M,42,703,2.4%,,,
,,Total Votes Cast,"29,893",Valid Votes,"29,633",Rejected Votes,260,Turn-Out:,57.3%
Constituency,,ATEBUBU SOUTH,,,,Registered Voters:,,"33,006",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NDC,Amadu Azi,,M,46,"10,245",52.7%,,,
NPP,Mumuni Ibrahim Mohammed,,M,45,"6,600",34.0%,,,
NRP,George Kwasi Nyarko,,M,30,"1,794",9.2%,,,
PNC,Anthony Kwame Amevor,,M,57,524,2.7%,,,
CPP,Annor Z. Nikitins,,M,44,267,1.4%,,,
,,Total Votes Cast,"19,685",Valid Votes,"19,430",Rejected Votes,255,Turn-Out:,59.6%
Constituency,,BEREKUM,,,,Registered Voters:,,"61,401",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Nkrabeah Effah-Dartey,,M,47,"23,288",64.2%,,,
NDC,J.H. Owusu-Acheampong,,M,59,"12,393",34.2%,,,
CPP,Kofi Kumi Atta-Frimpong,,M,60,262,0.7%,,,
NRP,Dickson Kofi Nuako,,M,58,251,0.7%,,,
UGM,Andrews Hinneh,,M,43,94,0.3%,,,
,,Total Votes Cast,"36,717",Valid Votes,"36,288",Rejected Votes,429,Turn-Out:,59.8%
Constituency,,DORMAA EAST,,,,Registered Voters:,,"28,232",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Stephen Adoma-Yeboah Esq.,,M,49,"9,782",60.9%,,,
NDC,Nicholas Kwabena Agyei-Kyereme,,M,53,"5,599",34.8%,,,
NRP,Obeng Kwasi Emmanuel,,M,25,397,2.5%,,,
CPP,Kyeremeh Addae Hinneh,,M,36,291,1.8%,,,
,,Total Votes Cast,"16,138",Valid Votes,"16,069",Rejected Votes,69,Turn-Out:,57.2%
12 December 2007,,,,,,,Page 12 of 62,,

,,Electoral Commission of Ghana,,,,,,,
,,Parliamentary Result -Election 2000,,,,,,,
,,Date of Election:-,,7th December 2000,,,,,
Region,,BRONG-AHAFO,,,,,,,
Constituency,,DORMAA WEST,,,,Registered Voters:,,"64,483",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Yaw Asiedu-Mensah,,M,61,"20,331",50.0%,,,
NDC,Thomas Kwame Yeboah,,M,41,"17,618",43.3%,,,
IND,Dr. Solomon Anso Manson,,M,64,"1,088",2.7%,,,
NRP,Chou-En-Lai Paul Ankomah,,M,52,588,1.4%,,,
CPP,Kofi Adu-Gyamfi,,M,34,460,1.1%,,,
PNC,Christopher AA-Bagme,,M,41,369,0.9%,,,
UGM,Arhin Seth Asante,,M,27,211,0.5%,,,
,,Total Votes Cast,"40,730",Valid Votes,"40,665",Rejected Votes,65,Turn-Out:,63.2%
Constituency,,JAMAN,,,,Registered Voters:,,"95,581",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NPP,Anna Nyamekye (Mrs),,F,46,"19,720",48.3%,,,
NDC,Nicholas Appiah-Kubi,,M,,"18,807",46.0%,,,
NRP,Clement Anane,,M,48,"1,591",3.9%,,,
CPP,Stephen Kwabena Nkyibena,,M,70,403,1.0%,,,
PNC,Fadel Musah Gyasi,,M,24,348,0.9%,,,
,,Total Votes Cast,"41,118",Valid Votes,"40,869",Rejected Votes,249,Turn-Out:,43.0%
Constituency,,KINTAMPO,,,,Registered Voters:,,"80,028",
Party,Name,,Sex,Age,Votes,Pcnt,,Elected,
NDC,Yaw Effah-Baafi,,M,43,"14,134",32.0%,,,
NPP,Yaw Adjei-Duffour,,M,51,"13,039",29.5%,,,
IND,Ishmale Bin Abdallah,,M,43,"4,760",10.8%,,,
PNC,Peter Ndela,,M,31,"3,593",8.1%,,,
IND,Emmanuel Nsiah Dwomoh,,M,43,"3,473",7.9%,,,
